Country,Continent,hdicode,region,HDI,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank
Kazakhstan,Asia,Very High,,0.802,69.5,14.8,12.4,"22,587",-6
Kenya,Africa,Medium,ECA,0.601,62.1,11.4,7.7,"4,808",-3
Kiribati,Australia,Medium,SSA,0.628,67.7,11.8,9.1,"3,440",21
South Korea,Asia,Very High,ECA,0.929,84,16.5,12.6,"46,026",10
Kuwait,Asia,Very High,EAP,0.847,80.3,15.7,7.4,"56,729",-33
Kyrgyzstan,Asia,Medium,EAP,0.701,70.5,13,12,"4,782",28
Laos,Asia,Medium,LAC,0.62,69,10.2,5.9,"7,745",-13
Latvia,Europe,Very High,,0.879,75.9,16.6,13.3,"32,083",13
Lebanon,Asia,High,AS,0.723,74.4,12.1,8.6,"12,313",-11
Lesotho,Africa,Low,EAP,0.521,53,11.1,7.5,"2,709",-3
Liberia,Africa,Low,AS,0.487,61.1,10.5,5.3,"1,330",8
Libya,Africa,High,SSA,0.746,72.2,14,7.8,"19,752",-25
Liechtenstein,Europe,Very High,AS,0.942,84.7,15.5,12.4,"146,673",-11
Lithuania,Europe,Very High,LAC,0.879,74.3,16.4,13.5,"38,131",2
Luxembourg,Europe,Very High,,0.927,82.6,14.2,13,"78,554",-15
Madagascar,Africa,Low,SA,0.487,65.2,9.2,4.6,"1,464",4
Malawi,Africa,Low,SSA,0.508,62.9,11.5,5.2,"1,432",10
Malaysia,Asia,Very High,,0.807,76.3,12.9,10.7,"27,295",-7
Maldives,Asia,High,,0.762,80.8,12.2,7.8,"18,847",-16
Mali,Africa,Low,,0.41,59.4,7,1.6,"2,044",-13
Malta,Europe,Very High,AS,0.915,83.7,15.9,12.2,"44,464",5
Marshall Islands,Australia,Medium,,0.731,65.1,16.4,12.8,"6,855",28
Mauritania,Africa,Medium,ECA,0.54,64.7,8.1,4.8,"5,344",-26
Mauritius,Africa,Very High,SSA,0.796,74,14.6,10,"23,252",-12
Mexico,North America,High,SA,0.781,74.8,14.5,9.2,"19,138",-7
Micronesia,Australia,Medium,LAC,0.634,70.9,12.6,7.3,"3,709",18
Moldova,Europe,High,EAP,0.763,68.6,14.9,11.8,"12,964",8
Mongolia,Asia,High,ECA,0.741,72.7,14.5,9.4,"10,351",15
Montenegro,Europe,Very High,SSA,0.844,76.8,15.1,12.6,"22,513",12
Morocco,Africa,Medium,,0.698,75,14.6,6.1,"7,955",4
Mozambique,Africa,Low,EAP,0.461,59.6,10.7,3.9,"1,219",4
Myanmar,Asia,Medium,ECA,0.608,67.3,12.1,6.5,"4,038",6
Namibia,Africa,Medium,EAP,0.61,58.1,11.8,7.2,"9,200",-26
